Date : 2021-11-30 21:11:32
Directory : d:\UnityProjects\ToTheOtherSide
Total : 392 files,  74862 codes, 2402 comments, 5009 blanks, all 82273 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| XML       |         17 |     43,668 |         56 |        403 |     44,127 |
| C#        |        171 |     10,485 |      2,242 |      2,027 |     14,754 |
| Log       |         10 |      9,800 |          0 |      1,714 |     11,514 |
| JSON      |        168 |      7,849 |          0 |          4 |      7,853 |
| ShaderLab |         17 |      2,338 |         82 |        644 |      3,064 |
| CSS       |          6 |        429 |         22 |         94 |        545 |
| HTML      |          2 |        291 |          0 |        122 |        413 |
| Markdown  |          1 |          2 |          0 |          1 |          3 |
+-----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        392 |     74,862 |      2,402 |      5,009 |     82,273 |
| Assets                                                                                                                                |        371 |     58,441 |      2,346 |      3,284 |     64,071 |
| Assets\Aevus                                                                                                                          |          2 |        120 |         18 |         25 |        163 |
| Assets\Aevus\EmergencyExit                                                                                                            |          2 |        120 |         18 |         25 |        163 |
| Assets\I0plus                                                                                                                         |        197 |     10,957 |        656 |        681 |     12,294 |
| Assets\I0plus\RawDatas                                                                                                                |        101 |      7,135 |          0 |          0 |      7,135 |
| Assets\I0plus\RawDatas\CharacterMod                                                                                                   |         25 |      1,902 |          0 |          0 |      1,902 |
| Assets\I0plus\RawDatas\IslandInfoPanel                                                                                                |         27 |      1,828 |          0 |          0 |      1,828 |
| Assets\I0plus\RawDatas\MainPanel                                                                                                      |         24 |      1,589 |          0 |          0 |      1,589 |
| Assets\I0plus\RawDatas\StockPanel                                                                                                     |         25 |      1,816 |          0 |          0 |      1,816 |
| Assets\I0plus\XuidUnity                                                                                                               |         96 |      3,822 |        656 |        681 |      5,159 |
| Assets\I0plus\XuidUnity\CreatedSprites                                                                                                |          8 |          8 |          0 |          0 |          8 |
