"filename", "language", "C#", "comment", "blank", "total"
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\ArmBotData.cs", "C#", 94, 22, 31, 147
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\BodyParts.cs", "C#", 8, 0, 0, 8
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\BotStatusList.cs", "C#", 53, 2, 8, 63
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\BotType.cs", "C#", 8, 0, 0, 8
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\EquipmentHolder.cs", "C#", 63, 0, 14, 77
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\InventoryData.cs", "C#", 21, 0, 3, 24
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\ItemStorage.cs", "C#", 5, 0, 1, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\MOTHERData.cs", "C#", 30, 0, 9, 39
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\Modifier\BotModifier.cs", "C#", 6, 0, 1, 7
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\Modifier\EquipmentBehaviour.cs", "C#", 22, 2, 3, 27
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\SearcherData.cs", "C#", 45, 3, 10, 58
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\StatusType.cs", "C#", 12, 1, 0, 13
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\VisualData.cs", "C#", 7, 3, 2, 12
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Configs\SessionConfig.cs", "C#", 27, 5, 7, 39
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Configs\StepGenerationConfig.cs", "C#", 139, 13, 50, 202
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\DataIndexer.cs", "C#", 59, 0, 8, 67
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\DataManager.cs", "C#", 41, 22, 11, 74
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\IPermanentData.cs", "C#", 4, 2, 0, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\ISalvageData.cs", "C#", 3, 1, 0, 4
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\LabeledData.cs", "C#", 18, 0, 3, 21
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\SDataValuable.cs", "C#", 4, 1, 1, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\SalvageValuable.cs", "C#", 24, 1, 2, 27
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Sector\EnvironmentAttribute.cs", "C#", 9, 1, 1, 11
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Sector\ExploreData.cs", "C#", 121, 1, 21, 143
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Sector\SessionDataSaver.cs", "C#", 58, 0, 16, 74
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Sector\StepState.cs", "C#", 9, 0, 0, 9
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\SessionAddonData.cs", "C#", 13, 0, 4, 17
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\SessionData.cs", "C#", 66, 6, 12, 84
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Talkdata\CharaResponce.cs", "C#", 6, 0, 0, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Talkdata\ChatArg.cs", "C#", 11, 0, 2, 13
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Talkdata\QuestionArg.cs", "C#", 34, 0, 7, 41
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Talkdata\TalkData.cs", "C#", 18, 2, 3, 23
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\TreeStructure\TreeStructuredData.cs", "C#", 116, 8, 25, 149
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EditorScripts\ScriptableObjectCreator.cs", "C#", 71, 15, 17, 103
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EditorScripts\ScriptableUtility.cs", "C#", 2, 49, 0, 51
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EditorScripts\ScriptableViewer.cs", "C#", 47, 20, 13, 80
